Tweets,Date
"Selama 10 tahun rasanya udah cukup swbutan kampret dan cebong.. Saya aja udah eneg bahkan eneg kali.. 
Masa' pendukung @aniesbaswedan enggak eneg'?",2023-04-12 02:27:01+00:00
"@CeritaPuspa @okeh_fik Mbak, sekarang kecebong sudah melebur bersama kampret menjadi KECEPRET 🤣🤣🤣",2023-04-12 02:26:51+00:00
@worksfess emang kampret sih cuti bersama tp motong jatah tahunan,2023-04-12 02:24:40+00:00
"Kemarin meeting sama CEO dan salah fokus liatin jam tangannya. Cakep banget apple watch ultra 😍

Pengen tapi aku hanya kacung kampret 😂",2023-04-12 02:22:53+00:00
@caeleestis @JPFBASE kampret bener emang sendernya 😭,2023-04-12 02:20:49+00:00
@overthinking_d Kampret emang,2023-04-12 02:18:09+00:00
GROUP PHOTO BARENG WOODZ tp member mecima doang jir.... kampret,2023-04-12 02:18:05+00:00
"""Iy iy istirahat aja dulu lang besok jalan siangan""

Besoknya diterror dari jam 7 pagi.. KAMPRET",2023-04-12 02:13:39+00:00
"@radenrauf lebih ke mutusin sih dulu.
dengan alasan: mau fokus belajar, 🙏🏻

padahal udah bosen karena udah rese minta dihubungin mulu..
dan karena udah ada yg baru yg lebih meyakinkan dan gak rese 

HAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH emg kampret.",2023-04-12 02:11:02+00:00
"@OrbitStore1 @PT_Transjakarta Keputusan tarif itu ditangan Pj sama DPRD om. Masalahnya mereka blom ada niatan naikin, yang ngotot kan DTKJ hahahaah. Kampret emang",2023-04-12 02:09:25+00:00
SIAPA YG NYENGGOL CAMIN GUEEE maju sini lo kampret https://t.co/MyetrOtUjo,2023-04-12 02:08:29+00:00
@radenrauf Karena terlalu baik wkwkwkw padahal mah krn bosen aja tu si kampret 🙏🏽,2023-04-12 02:04:27+00:00
@ermawanti_ pagi juga,2023-04-12 02:00:19+00:00
"1. Mereka dulu emang tulang punggung, bukan drama.
2. Kita ngeroasting mereka rank 26, bukan drama.
3. Mereka jadi musuh masyarakat karena orang2 kampret yg nggiring opini, bukan labelling dari fansnya.

Bela-belain bikin akun twitter cuma buat nyindir?",2023-04-12 01:54:13+00:00
"Ini sound kampret banget, gue ketawa mulu tiap ada konten bukber pas diswipe pasti kagak beres alasan bukbernya https://t.co/z1BtK2CH4E",2023-04-12 01:50:45+00:00
@wintertiwi Batin yuno kampret bgt sih knpa selalu gue,2023-04-12 01:49:11+00:00
@convomfs emang anak kampret 🤡 https://t.co/MkjUf0tMBq,2023-04-12 01:46:35+00:00
gegara pas selasa gue begadang nugas kampret,2023-04-12 01:45:29+00:00
@pengenchickin KAMPRET,2023-04-12 01:44:08+00:00
@PanangianTambu1 @Kakak211 @aesculapiusw @BTRxZaflaabaeVL @catz_nada2 @derpinhoz @SuryadiGatot @404berserk @michaelsugi99 @Ruth_Djojoning @panangiantambun @iam_zelt @__anomali__ @Apokrifa23 @Men4Ego @JudahLion88 @pangarekaptogel @ABisaapa @Jayandaru2020 @radixwp @GardaNusa_5 @DiposuroP @kuasabu2 @mx00711 @AntiKadrun77 @kevhunt_13 @Budi_2232 Apasiiii kampret sosoan giniiii nge reply tweet gua dengan kebodohan doanggg😭🤣,2023-04-12 01:43:15+00:00
@Hagihrmwn @Acepajaokeh Poe gawe pan kampret,2023-04-12 01:38:30+00:00
dinda kampret lu merusak pagi gue,2023-04-12 01:37:35+00:00
@KompasTV Kampret kalian,2023-04-12 01:34:03+00:00
"Standarisasi menentukan seseorang cebong rasis, kadal gurun , kampret dll titel gelar dlm dunia politik permedsosan itu apa?

Gw kalo kritik penguasa di panggil kadrun,kalau post Prabowo di panggil cebong,post Anies di panggil pengikut Yaman 

Hanya karena post gw dapat gelar 🤣",2023-04-12 01:33:08+00:00
@Jaecoffemine KAMPRET LO,2023-04-12 01:31:22+00:00
gw alamat nga ngasih dah satu baramg. kampret,2023-04-12 01:28:17+00:00
"@Yurissa_Samosir Hahaha.... Kampret betina... Kampret betina.... Apa toh prestasinya OBTAA WAN, AIBON MU ITU??? asal KENTUT saja tuh moncong 😂😂😂😂",2023-04-12 01:26:26+00:00
@ditaanovi Cantiknya,2023-04-12 01:24:15+00:00
@PartaiSocmed @erickthohir Kampret emang,2023-04-12 01:21:27+00:00
@NdutDona Kampret ah wkwkwk,2023-04-12 01:10:39+00:00
"@geloraco Para sutradara sebenarnya sdh mengatur,, siapa yg akan berkuasa &amp; meneruskan apa mau mereka,,, 
Tinggal menciptakan intrik seolah² ada perselisihan,,,,,, 

Ttp aja yg korban rakyat,,, jadi terpecah belah,,,  diawli muncul cebong - kampret,,,

Siapa yg diuntungkan???",2023-04-12 01:06:17+00:00
"jangan sembarangan klik link. gue jg pernah anjir iseng klik linknya, ehh saldo w abis. untung waktu itu saldonya cuma 40k, jadi yaudah di ikhlasin. kampret betul emang",2023-04-12 01:05:42+00:00
"@rindu_kuhilang Bukan kecebong om, tapi KECEPRET alias Kecebong - Kampret",2023-04-12 01:02:52+00:00
jaringan kampret,2023-04-12 01:01:29+00:00
@yucilv kampret,2023-04-12 00:55:32+00:00
@zakeyzaa Waduh kampret,2023-04-12 00:54:53+00:00
"@DrEvaChaniago Kalo rakyat pintar bani cebong dan kampret musnah...
Seandainya orang2 pintar dan hebat2 di Republik ini bisa mengunakan akal sehatnya pasti rakyat Indonesia sejahtera dg kekayaan alam yg berlimpah. Kalo tidak percaya tanya bang @mohmahfudmd...",2023-04-12 00:52:16+00:00
Kampret earphoneku rusak,2023-04-12 00:48:35+00:00
"@musniumar Loe KAMPRET TOLOL yg sebarkan fitnah, dengam coba menutupi kesalahan si ONTA MU itu. Itu namanya fitnah kampret tolol",2023-04-12 00:45:52+00:00
aman gaaa?😭😭😭kampret bgt dah melon🥲🥲 https://t.co/lx0dzXYYlX,2023-04-12 00:37:18+00:00
"@tanyakanrl Dihh, lelaki kardus lelaki kampret",2023-04-12 00:36:30+00:00
@apasalahmu Kampret diikutin lagi😭,2023-04-12 00:35:50+00:00
@Kimberley_2024 podo mba ... di kamus hidup saya ga ada cebong kampret lagi apalagi kadal dan garangan,2023-04-12 00:35:26+00:00
@marsyqi KWKWKWK KAMPRET LU KI,2023-04-12 00:34:21+00:00
