Tweets,Date
"@susulttraa @tanyakanrl iya nih bener, si mario juga juga bajingan pedo gitu, si agnes juga kok berani. Tapi mario wajib kena tambahan hukuman sii karena pedo",2023-04-11 16:32:17+00:00
@tanyakanrl stres bajingan,2023-04-11 16:29:31+00:00
"Aduh haram jadah bangsat emang yg krisis komunikasi orgtua, anak yg harus jadi penengah tuh bajingan emang. Pusing ke masalah bisnisnya",2023-04-11 16:29:18+00:00
"@sukalangitxixii @tanyakanrl minimal kalau sange ya beli alat pemuas nafsu kek, jgn ayam juga. ni manusia bajingan",2023-04-11 16:27:44+00:00
"Bajingan bersorban yang menjijikan,,,,🤮🤮🤮🤮
,
,
,
,
Merusak mental anak orang,,
Orang tua masukin anaknya ke pondok untuk memperbaiki akidah akhlak malah kau rusak wahai BAJINGAN BERSORBAN,,‼️",2023-04-11 16:26:28+00:00
@adiesaputraalf @tololmeroket Bajingan wkwkwk,2023-04-11 16:22:29+00:00
"@articlc @moonareas ""MALLL"" 
""😭😭😭😭😭 as always"" 
""GILA BENERAN ANJING""
""lu udah baca dominic blm"" 
""GUA BARU BANGUN""
""baru bangun"" 
""gemini bajingan""
""BENERAN BADUT INI""",2023-04-11 16:21:51+00:00
"Baru kemaren minggu cerita, pas buka twitter tuh makin banyak manusia manusia aneh bin ajaib, ehh hari ini baca ada ojol yg ""make"" ayam, bajingan bajingan makin serem aja",2023-04-11 16:21:44+00:00
😭😭😭bajingan,2023-04-11 16:19:49+00:00
@tanyakanrl bajingan bgt ni org,2023-04-11 16:19:15+00:00
@shiinkirou BAJINGAN,2023-04-11 16:18:38+00:00
@aksmojapradipta lagi nangisin alur hidupku yang sangat bajingan,2023-04-11 16:17:35+00:00
Bajingan tak dupak tenan iki wong tuo,2023-04-11 16:17:25+00:00
@tanyakanrl bajingan banget,2023-04-11 16:17:19+00:00
bajingan,2023-04-11 16:16:43+00:00
"@alexasaffira Yaa,, namanye juga penjahat, alias bandit,, Bapak &amp; anak sama"" Bajingan negara,, penjahat koruptor!",2023-04-11 16:15:54+00:00
@narkosun @DivHumas_Polri minimal bonyokin dulu tuh si bajingan itu sebelum di penjarain,2023-04-11 16:15:46+00:00
"https://t.co/T7MIdFJxIh  Selain Bajingan Ternyata Si RAT Nir Empati Dan Akhlak.
**
**
Pastas Lah Bila Sekarang Dia Akan Hancur 7 Turunan Serta 10 Tanjakan. https://t.co/gBrrwtkWOy",2023-04-11 16:14:30+00:00
@tanyakanrl BAJINGAN,2023-04-11 16:14:18+00:00
"LO KONTOL, NGENTOT, ANJING, BABI, BANGSAT, ASW, BAJINGAN, KAMPANK",2023-04-11 16:14:16+00:00
@convomfs wkwkwk bajingan,2023-04-11 16:14:16+00:00
"asli gue berharap bgt j antis dpt karma, alias bajingan lo semua seenak jidat bgt ngancurin mimpi org",2023-04-11 16:13:40+00:00
"bisa ga di indonesia ini hilangin klakson moto/mobil? kek anjing sabar kek eluuu‼️‼️ orang juga mau cepat bajingan, belom lampu ijo udah ngelakson.",2023-04-11 16:13:34+00:00
KENAPA SI KALO TRYOUT PAS NILAI LAIN UDAH BAGUS PASTI ADA 1 SUBTES YANG JELEK NILAINYA BAJINGAN LU TRYOUT,2023-04-11 16:12:54+00:00
@Umar_Hasibuan__ Jamane jaman edan.... Bajingan dielu -elukan bak pahlawan,2023-04-11 16:12:36+00:00
"si dandy nih bajingan telak ya, nganu ma underage ewh",2023-04-11 16:12:32+00:00
JAHAHAHAHAH BAJINGAN BNGT SI TIMUN,2023-04-11 16:12:22+00:00
"Ini kenapa rasa sakitnya makin parah sih, tiap tah dia chat tapi gak ada usaha nyinggung hubungan rasanya kek pengen bales ""bajingan 7th aku buang waktu buat nunggu tapi balesannya gini banget wooyy!! Bangsat!!""",2023-04-11 16:10:43+00:00
Bajingan 😭😭😭😭😭🤌🏻,2023-04-11 16:09:13+00:00
"Holaaa
Hari ini pertama kali guweh niat belajar subuh ngerjain beberapa soal supin. Pulang les nyari takjil setelah itu latsol di zen dan lanjutin TO sainsin yg bajingan ini. Sekarang mau tidur dulu semoga besok bisa belajar subuh lagi🥲🙏🏻 https://t.co/ahFZPJGzxv",2023-04-11 16:07:48+00:00
@MprAldo Perekam...bajingan.. kalau begitu,2023-04-11 16:06:35+00:00
"@maslion87 kurang sangar,, wingi malah onok sing milox,, tulisan ""bajingan'",2023-04-11 16:05:52+00:00
lagunya disetel isa.mp3 memang bajingan is this a jab towards namgis generation offsprings alias cw cw tangguh pasang badan tp ga malu ngaku nangis dibalik pintu,2023-04-11 16:05:40+00:00
@tanyakanrl Dandy lo bener2 ya dandy bajingan bgt. Agnes lo jg mau maunya🥴,2023-04-11 16:05:19+00:00
"bajingan lo yang make lampu jauh malem"" . MATA GUE SILINDER AJGGGGG",2023-04-11 16:03:33+00:00
Bajingan gue baper dngr mereka haha hihi bareng (⁠─⁠.⁠─⁠|⁠|⁠）,2023-04-11 16:03:30+00:00
Bajingan tenan..,2023-04-11 16:02:07+00:00
"Nggak bohong gw nangisin txt waktu awal nge stan, anak sebaik mereka harus ngelawan dunia yg  seperti bajingan ini, belum lagi orang2 yang remehin  pencapaian mereka karena label adeknya 875, padahal mereka juga kerja keras..
Rasa ingin melindungi bener2 tumpah buat txt😞",2023-04-11 15:58:49+00:00
"Temen gue kok bajingan si, udh tau gue trauma sama kejadian itu malah di ungkit lagi. Bisa ga sih trauma orang tuh ga usah di ungkit lagi? Lo ga pernah tau rasanya ada di trauma itu. Yg lebih gilanya lagi lo ngungkitnya didepan orang yang buat gue jadi trauma😫😫😫",2023-04-11 15:58:33+00:00
"10jt)jam 😀😀😀😀😀 
BAJINGAN LUUUUUUUU",2023-04-11 15:58:06+00:00
bajingan tangan aku sampe kebas,2023-04-11 15:57:04+00:00
"@GOAL_ID Emang sampah bajingan c Materazzi tuh!! Haha, Sekarang dia gak jelas hidupnya.",2023-04-11 15:55:15+00:00
Bajingan bikin galau aja anjir https://t.co/fwVGxTANLQ,2023-04-11 15:54:49+00:00
BAJINGAN DI BLOK😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/SPv1PC85wa,2023-04-11 15:54:24+00:00
@Stakof @welldonski Bajingan sudah wkwkwk,2023-04-11 15:53:55+00:00
"kaga ada yg bisa dipercaya, bajingan!!!",2023-04-11 15:51:55+00:00
@acousrtic BAJINGAN ION W TANDAIN LUHK,2023-04-11 15:50:19+00:00
@narkosun @DivHumas_Polri bajingan wong”an ra ceto nak kui,2023-04-11 15:48:52+00:00
memang bajingan,2023-04-11 15:48:17+00:00
Bajingan,2023-04-11 15:47:07+00:00
bajingan wong-wong ngeneki,2023-04-11 15:44:53+00:00
@Heraloebss Ga punya NIK ??? Tapi kok bisa kerja di pemerintahan??? Patut di pertanyakan sistem bajingan kalian semua para pejabat tai,2023-04-11 15:44:26+00:00
BAJINGAN BNUL LA INI PASANGAN IRI KLI AKU KIMAK,2023-04-11 15:44:18+00:00
@ivnamla @noestutipo bajingan malah request😭,2023-04-11 15:42:44+00:00
@flawless_ni @tanyakanrl Bajingan,2023-04-11 15:42:22+00:00
@musniumar Bajingan kadal arab yaman.. https://t.co/s1gcBl5egt,2023-04-11 15:41:27+00:00
Rejim bangsat dan bajingan,2023-04-11 15:39:36+00:00
@TxtdariHI Bajingan siapa yg ngeditn😭😭😭,2023-04-11 15:39:18+00:00
"mmf pemuja visual sy dulu, mana awalnya suka seobin eh malah keluar memang riil bajingan",2023-04-11 15:38:07+00:00
@gaendja bajingan lo tolol dendam bgt sama lo,2023-04-11 15:37:50+00:00
@nyimengh @alokpristyle @htskontol @sukabbo bajingan gw ketinggalan apa,2023-04-11 15:37:41+00:00
@tanyakanrl Saran aku sih bakar ajh adeknya nder🙏 bajingan gadak sopan santunnya huuuuu👎👎👎,2023-04-11 15:36:18+00:00
"dahlah kaga ada istilah sister fandom sister fandom an, emang dasar nya fandom lain ni pada bajingan",2023-04-11 15:36:00+00:00
@sanhaz_ EMNG BAJINGAN FANTAGIO,2023-04-11 15:35:17+00:00
"‘’Kalau memang nantinya ada tulah dari apa yang kau beberkan pada kami saat ini, pastinya, besok aku akan datang lagi kemari.’’ Ucap Ibu Sumi kepada Mbah Sur
‘’Un—untuk apa kau datang lagi kemari?’’
‘’Untuk memandikan jenazahmu!’’
‘’BAJINGAN!’’ Teriak Mbah Sur",2023-04-11 15:32:30+00:00
"‘’Cepat katakan! Siapa pelakunya! Cepat katakana bajingan!” Teriak Ibu Sumi
‘’Udah, bu. Kasihan Mbah Sur!’’ Pinta Pak Sumardi",2023-04-11 15:32:23+00:00
"KLUB BAJINGAN, TAEK, ASU @AremafcOfficial MODARO RAIMU SAK ISI-ISIMU!!!",2023-04-11 15:31:53+00:00
"Kalo mau bajingan, bajingan di tempat orang jangan di tempat sendiri. Masak mau buang tai di kampung sendiri

-Kata Seorang PSK-",2023-04-11 15:31:46+00:00
@kompascom Kalau benar bajingan nih si firli,2023-04-11 15:31:21+00:00
bajingan,2023-04-11 15:30:52+00:00
"bajingan oke, gue ava rl 3 jam ini ya..",2023-04-11 15:29:00+00:00
@hilarioushy BAJINGAN GABUT ABIS. MANA PAS ADA ORANG MANDI,2023-04-11 15:28:45+00:00
"Se bajingan  nya diri ku..

Tetap
Takkan ada itu isi otak ku untuk selingkuh!",2023-04-11 15:25:53+00:00
Bajingan kabeh,2023-04-11 15:25:30+00:00
