Tweets,Date
@empressarshes bunuh diri goblok,2023-04-11 19:49:13+00:00
@NotHaru47 bunuh diri goblok,2023-04-11 19:48:51+00:00
@Songokuangel961 bunuh diri goblok,2023-04-11 19:48:27+00:00
@tanyakanrl Ibu² goblok,2023-04-11 19:47:23+00:00
@JohanGazownik @hyp3rviolet @MoistCr1TiKaL bunuh diri goblok,2023-04-11 19:46:46+00:00
"Tambah goblok cok, kumpulan taek iki",2023-04-11 19:46:35+00:00
"Datang dan saksikan 🦄🔥BFK🔥D.A🎐  streaming langsung di #BIGOLIVE dan dapatkan teman baru! https://slink.bigovideo
https://t.co/goSyFjeAku https://t.co/Ky4wP45al0",2023-04-11 19:46:09+00:00
"@convomfs Minimal kalo anti kritik, ya buktiin kalo bacotan ka bima kaga bener, ini udah emang faktanya gitu, and banyak juga yang sependapat sama apa yang ka bima bilang, bukannya sadar malah bertindak makin goblok.. duhh goblok goblok",2023-04-11 19:45:04+00:00
@warga_laughtale @Giring_Ganesha @ernestprakasa Kontol Lo anjing goblok,2023-04-11 19:43:20+00:00
"@Cupvakeee @tanyakanrl Betul bangat pengen bilang kontol,goblok sabar dikit napa, tapi gak bisa kasiyg yaa, kayak di tuntuk kita jadi robot",2023-04-11 19:43:01+00:00
"@jkt_roel @ruhutsitompul Yg goblok lo yg gga paham mengenai 11T, msh aja bego lo..ini kan berita dr majalah time bkn dr luhut tolol!!!",2023-04-11 19:42:19+00:00
"@louvekyungsoo @tanyakanrl setuju, intinya mah kedua nya sama sama goblok dan tolol sih. ga ada pembelaan.",2023-04-11 19:40:21+00:00
@txtdrimedia Mampus kau goblok,2023-04-11 19:34:39+00:00
PLEASE 😭😭😭😭😭 BUKANNYA MAU NGEJUDGE TAPI QUSBWODJAOS INI PARAH BANGETTTTTT GUA SAMPE NGANG NGENG NGONG NGARTIINNYA INI GUA YANG GOBLOK APA GIMANA 😭😭,2023-04-11 19:34:10+00:00
"@ekokuntadhi1 Kehabisan kata kata akhirnya ngawur, seperti itu katanya profesor goblok seperti anus basedan.",2023-04-11 19:33:35+00:00
LAUTARO GOBLOK KALI KAU ALLAHUAKBARRRRRR,2023-04-11 19:33:31+00:00
"setelah baca au pinter inggris ❌🙅‍♀️
setelah baca au makin goblok inggris ✅ https://t.co/MpJs9YRKIy",2023-04-11 19:33:20+00:00
"@alterna41676964 @ShopedInspired @18fesss Setuju. Heran sama replynya yg masih nyudutin istrinya padahal orang hamil besar loh, wajar harusnya dia diprioritasin. Emang dasarnya goblok aja suaminya.",2023-04-11 19:31:15+00:00
wah anjing goblok city goal nya bgs bnr,2023-04-11 19:28:43+00:00
@_InteractWith @InteractWallet Goblok,2023-04-11 19:28:25+00:00
Ternyata ada yang lebih goblok lagi. Barusan aja malah pintu kamar kekunci sendiri dari dalem pas lagi masak buat buka. Jadinya kudu ke receptionist buat minta bukain 🤡,2023-04-11 19:28:14+00:00
"@janganikuti_aku @tanyakanrl goblok lo ngentot cewek gak ada otak gak berpendidikan lo, kampungan, baru punya handphone ya anjing?",2023-04-11 19:27:23+00:00
"@LilyGaming6791 Kebacut goblok cik, pingin eh ayam kampus tapi hasile ayam kampung 😂",2023-04-11 19:26:11+00:00
"setelah bertukar pikiran dari beberapa orang yang bisa diandalkan, jawabannya hampir sama semua. ini aku yg goblok apa gmn..",2023-04-11 19:25:51+00:00
@lapanganhingga Karena Dandi goblok. Simpel aja ga sih? 😅,2023-04-11 19:23:55+00:00
@Gozalimard @indosupporter Lah malah timnas. Goblok lu ya arema sama aremania tuh yg tolol,2023-04-11 19:21:43+00:00
GOBLOK https://t.co/5LMCbZtuM3,2023-04-11 19:21:00+00:00
Walaupun timnya 80% goblok dengan matchmaking sampah tapi tetep love operwak ❤️,2023-04-11 19:21:00+00:00
"all my friends: jarke kandanane angel, percoyo o sik ngasi loro-loro karepmu. ngandani bucin goblok ancen percuma. https://t.co/YCWkWYloxJ",2023-04-11 19:19:20+00:00
"Iso2ne loss 6juta,goblok banget aku",2023-04-11 19:18:55+00:00
@NanokNano89 Buzzer goblok. Baca berita aja gak becus. Balik ke sd sono.,2023-04-11 19:18:36+00:00
"🤍 ""bikin gue jatuh cinta sm lo"" ""pls tungguin gue"" bacot anjeng uda hampir setahun lo ga jadi milik gue juga. kek orang goblok gue nungguin cinta lo",2023-04-11 19:15:54+00:00
"Jenuh bgt ngepush di epic

Tapi main clasic aja pada goblok anj",2023-04-11 19:15:03+00:00
"@dhemit_is_back @sosmedkeras Kan goblok, mau nyuri malah ke rek dia sendiri, yaa ketahuanlah.. 🤣 coba kalau nyuri itu yg pinter dikit napa",2023-04-11 19:14:27+00:00
Si goblok emang 😂,2023-04-11 19:06:08+00:00
@18fesss Salah base goblok,2023-04-11 19:05:28+00:00
@portamentoz Babakan cinta cen ketok goblok,2023-04-11 19:05:09+00:00
@idextratime Tiba2 indosiar goblok🤣,2023-04-11 19:03:10+00:00
"Lu liat betapa goblok nya diri lu dari awal ngetweet sampe rply komenan orang.

ngga tau karakter mereka tapi nuduh suaminya selingkuh, ini lu bego dan parah bgt sampe suudzon suami orang selingkuh. https://t.co/Sw4UUZCtCq",2023-04-11 19:02:20+00:00
3 dino ra turu bengi,2023-04-11 19:02:13+00:00
"hahahaha goblok banget, manusia paling goblok tuh elu, malu ga sih https://t.co/Zn3py0eXmo",2023-04-11 19:01:58+00:00
emang dasar lo nya aja yang goblok gabriel,2023-04-11 19:00:36+00:00
meanwhile ak sek tak jarno soale sungkan dan takut mbak e lek butuh pacarku yaopo. ancen lek goblok y goblok aja ak ini 🙏🏻,2023-04-11 19:00:33+00:00
tolol lu goblok,2023-04-11 18:59:30+00:00
Goblok,2023-04-11 18:57:41+00:00
@txtdrkuliner goblok jg ya mba nya,2023-04-11 18:56:37+00:00
"@sbyfess Playing since like 11years ago.
Tetep aja maennya ga jago 🤣
Cuma seneng aja kalo mabar terus ada momen"" goblok di game.

Ngebully temen karena blunder itu seru.",2023-04-11 18:56:16+00:00
@C_JessiJKT48 Ntar ku back,2023-04-11 18:56:10+00:00
"@dabenone2 Yang GOBLOK para pemujanya, udah tau Pleciden KW, malah ngotot dipilih lagi 😁😁😁 https://t.co/OI4MBxEmkj",2023-04-11 18:54:09+00:00
Orang-orang makronya pada goblok banget dah.,2023-04-11 18:54:06+00:00
@Flammenfunken hanya orang goblok yang nganggep ini orang waras.,2023-04-11 18:52:54+00:00
"@narkosun Cebong goblok, semua keturunan nabi terdaftar di Rabithah Alawiyah. 
Kalau gak tau mending diam daripada pamer kegoblokan.",2023-04-11 18:52:52+00:00
no salty tapi isi mfs nya goblok,2023-04-11 18:52:39+00:00
"@abu_waras gak mungkin juga CEBONG2 GOBLOK pada bayar, token listrik ngutang ajah susah ditagih 😂",2023-04-11 18:52:00+00:00
@tanyakanrl pertanyaan goblok wkakaka,2023-04-11 18:49:38+00:00
@narkosun @DivHumas_Polri opang kampung goblok pasti ini.,2023-04-11 18:49:26+00:00
"ada kasus pedopil seorang biksu, malah ada yg komen ""makanya nikah""

tolol tolol, orang sakit kok dikasi nikah. goblok",2023-04-11 18:49:25+00:00
"serem bgt nih orang memaksakan opini, ngerasa paling pinter, maunya bener, minim empati. dari semua rply dan qrt orang yang kontra sama opini sampah dia? dia sampe harus ngatain orang goblok, padahal yang goblok tuh lu kenapa ngasih opini sampah kek gtu.",2023-04-11 18:49:19+00:00
"@18fesss Bilang kaya gini nder “Heh !! Tu temen2 bukber lo kalo bayarin rumah sakit, biaya vaksin, perlengkapan bayi sampe 2 taun gpp dah. Dan gantiin rasa sakit lahiran.” Jadi laki kaya banci. Goblok",2023-04-11 18:49:12+00:00
goblok bentar,2023-04-11 18:48:43+00:00
"Been there, done that. Untung sekarang ada grup kelas yang pake dc jadi gak merasa goblok bgt pernah download.",2023-04-11 18:48:23+00:00
Orang orang goblok gini kok bisa jadi ibu ya?,2023-04-11 18:47:56+00:00
goblok bgt anjingggg,2023-04-11 18:47:08+00:00
"Goblok, lupa klo gbisa dm non moots duluan auto ke lock 😞",2023-04-11 18:42:36+00:00
@Jelli_cent @Dennysiregar7 @ganjarpranowo bacot Goblok bayaran gitu masih laku ???,2023-04-11 18:42:18+00:00
"Ini sih goblok, mau sok sokan jadi pembawa berita tp kurang serching
Giring opini jelek",2023-04-11 18:42:15+00:00
"@Versakleg @Veelgeenoo @VeelaaRhie @Restty_cayah Hoax loe bilang blis?, disuruh DM Firza vokalis Dewa gak berani, goblok!.",2023-04-11 18:41:45+00:00
"@xynshua @iamhasyim merasa paling pinter, dan opini dia oke jadi dia merasa  bener dan ngga mau disalahin. padahal rplyan serta qrt udah banyak yang kontra sama opini dia masih aja ngatain kita yang ngga ngerti point opini dia dan bilang kita semua goblok, aneh bener orang satu ini",2023-04-11 18:41:38+00:00
"@Bibby__Lee @jennieefr @tanyakanrl lah pendapat gua pake contoh hubungan gua dan ortu gua, yg bandingin siapa? klo lu nangkapnya dibandingkan yaa lu goblok 😂
gua sering sih di posisi sender tapi gak problematik itung”an kyk lu ngentot🤣",2023-04-11 18:40:51+00:00
goblok bangt cpek,2023-04-11 18:40:01+00:00
@KompasTV Dokter goblok arogan,2023-04-11 18:38:42+00:00
"@Bibby__Lee @jennieefr @tanyakanrl gua bilang “kalau gua sesama ortu gak ada utang mengutang” pointnya “gak ada utang mengutang sesama anak-ortu”
klo lu tersinggung karna di bandingkan atau otak lu gak sanggup nangkap pointnya, itu urusan lu goblok",2023-04-11 18:37:59+00:00
@jnxlwee @iamhasyim haha ngatain semua orang goblok dia sendiri juga lebih goblok sebenernya. liat aja rplyann dia,2023-04-11 18:37:45+00:00
"@majaspleonasme @txtdarisisange Kebanyakan nonton bokep dan menganggap bokep itu realita yg ada di dunia nyata, padahal drama.  

Sebenarnya nalar nya yg goblok banget, itu bukan karena tontonan nya. Tapi cara berfikir",2023-04-11 18:37:06+00:00
Apemm gratisan goblok,2023-04-11 18:36:44+00:00
@cumanlisa Ya gitu deh gambaran orang goblok,2023-04-11 18:36:34+00:00
@eskepaljeruk Emg goblok:(,2023-04-11 18:36:03+00:00
"@Chamu83875136 Ahahah Goblok pemungut sampah sok pintarnya,otak hanya isi memek2 janda",2023-04-11 18:33:46+00:00
@taeyiiong @yongiekity Goblok anying trisam😭,2023-04-11 18:32:59+00:00
"pengen keliatan sangar, padahal mah malah keliatan goblok. orang nakal yg tobat mah nyesel kenapa dulu nakal, ini malah bangga. statement terkontol abad ini wkwk",2023-04-11 18:32:56+00:00
"@KorbanKadrun @islah_bahrawi Goblok itu disembunyiin bukan dipamerin, jangan gitu malu²in kk pembina aja kau.
Uzbekistan itu bukan Arab, makanya banyakin piknik keluar jangan cuma sembunyi di balik ketek nenek kebomu",2023-04-11 18:32:24+00:00
GOBLOK https://t.co/yTzMbfoyJr,2023-04-11 18:32:14+00:00
"@partisangambia Lagian napa dah jadi manusia goblok, salah sendiri",2023-04-11 18:31:58+00:00
@narkosun @DivHumas_Polri Bapanya nyari rezeki malah dipukulin sama kaum pengangguran nan goblok,2023-04-11 18:31:24+00:00
"Pertanyaan gua, siapa yg goblok. Orang kek @whitlelate diladenin. Wkwkwkwkwk. Atau emang sengaja bikin masalah gedein masalah ya. The truth has been spoken sih...",2023-04-11 18:31:20+00:00
"Bikin statement kaya gini bukan berarti menormalisasi pedofil

Karena ""line""-nya emang abu-abu
Memaksa tanggung jawab ke cowok dan nganggep perempuan tuh goblok.

Hal yg sama juga mengenai consent saat mabuk:
""If a person is too drunk, it considered as a rape"". Where is the line?",2023-04-11 18:31:03+00:00
"@YoandYj @Sofiankawar22 @wandystjk2 Palestina negara pengemis buktinya setiap Ramadhan teriak² seolah olah di jajah, dizholimi dan diserang Israel.padahal itu semua tipu daya Hamas agar donasi berdatangan ke.palestina orang Indonesia yg percaya gitu aja termasuk orang goblok",2023-04-11 18:30:28+00:00
"@usernanak @agstevest @WiliamRaden @jennieefr @tanyakanrl lahh goblok bgt wkwkwk gua yg bikin komen diawal ya wajar gua pertahanin argumen gua, goblok bgt ini bocah😭😭😭 “mungkin lo bisa komen” wkwkwk dari situ aja ternyata lu yg gak terima omongan gua dan maksa gua ikutin lu wwkwk tolol🤣🤣",2023-04-11 18:30:21+00:00
effort boleh goblok jangan,2023-04-11 18:30:01+00:00
Ini goblok bgt gue hampir numpahin mangkok semangka gue wkwmkwkwkwkkwkw https://t.co/v6S0UZ5VFt,2023-04-11 18:29:45+00:00
