Tweets,Date
"Sistem brengsek ini diusung Karna masyarakat mental kacung

Ga bisa kerja
Terpaksa

Kek kontol tau gasih

Gue 3 tahunnn kerjaa tanpa melibatkan iblis nurut aturan dajjal

Udah dzalim dianuti

Astagaaaaa",2023-04-11 16:36:34+00:00
knapa sih cowo tu ngeselin ya gak semua sih TAPI BANYAK BNGET IH YANG NGESELIN BRENGSEK HIKSHIKS,2023-04-11 16:35:54+00:00
@tanyakanrl BRENGSEK,2023-04-11 16:35:49+00:00
brengsek 😭😭,2023-04-11 16:33:19+00:00
"Gueee baca WP ini ngumpat Mulu ke tokoh laki"" nya anjirrr brengsek banget sumpah dah

Untuk autornya benernya deh makasih gue jadi berdo'a semoga ga ketemu cowo modelan kaya dia ya Allah amit"" benernan dah 🫠 https://t.co/eTyThsCgo3",2023-04-11 16:30:41+00:00
Ooo brengsek 🧎🏻‍♀️,2023-04-11 16:29:34+00:00
lucu banget brengsek,2023-04-11 16:28:55+00:00
"@PingkyLiza @rzlksm @nursandie Dark jokes emng bagusnya di antara sirkel ama forum” tertutup doang sih
Klo ke strangers ama public ya mana bisa 
Yg ada dianggep brengsek ente",2023-04-11 16:28:50+00:00
@kjjunkyulomll @asahihere @beerteduh @HAM4DASAH1 @jiounvours @jjungwayway @todayisaaa @jaellahao @jaehstarxx_ @pacarrYoshinori @shiyounz @fluffyjhwan @HAEJIHOONIE @ibexenina @ilymasyun @yjhcut @jih00nf @kxmdobby @lafilledhiwer @secrethyewon @wallflouwerr @jewufyu BRENGSEK LIPI WKWKKWKKWWK,2023-04-11 16:28:36+00:00
"@Catatan_ali7 @Restty_cayah GAK ADA YG BAGUS.
DUANYA BRENGSEK😒",2023-04-11 16:28:22+00:00
@Ik2t04crFg8JN4v BRENGSEK AYAMNYA NYANGKUT DI SILIT,2023-04-11 16:28:21+00:00
@orenjilemonadee Tengah malem dituduh cowo brengsek gara gara ga peenah di publish ama mantannya 💔💔,2023-04-11 16:28:02+00:00
"Semoga Sistem Social Credit Score diusung di indo tidak akan terjadi

Soalnya ospek aja masyarakat banyak yang nurut dari maskeran, cashless anti tunai, 💉

Demen banget Mark of beast

Brengsek",2023-04-11 16:27:28+00:00
@melowdies brengsek,2023-04-11 16:25:40+00:00
lagi lagi gw gk bisa jwab password privater brengsek ini wkwk tolol abis,2023-04-11 16:24:08+00:00
"adilonte adilonte gw yakin itu mah bumble lo sndiri tp krn ada date gone wrong atau account nya ketauan sm tmn lo yg gatau lo aslinya lonte melawai makanya lo sok2 klarifikasi. everyone knows how disgusting u are. cb kalo lo gak brengsek &amp; ada otak dikiit aja, no one would make",2023-04-11 16:23:14+00:00
"@murzder HAHAHAH mmaf emosi, mantanku brengsek semwa",2023-04-11 16:22:06+00:00
@PartisanPSBY brengsek 🤣🤣🤣,2023-04-11 16:21:09+00:00
@amorvtae STOP AGENDA EMOJI BRENGSEK LO ITU,2023-04-11 16:20:27+00:00
@dheaashintaa Wkwk gue pukulin lu kalo ampe nangisin laki brengsek lagi,2023-04-11 16:19:10+00:00
@unmagnetism ngasih harapan ke cewek2 brengsek un,2023-04-11 16:18:25+00:00
"@dxrtymidnight bukan brengsek tu mah, emang gada otak aja cowonya",2023-04-11 16:18:02+00:00
dikasih yg baik gamau malah milihnya yg brengsek. sp lg kalo bkn sy☝️☝️,2023-04-11 16:17:49+00:00
"kalo doyan mainin perasaan cewe menurut lo brengsek ga?
mana cewenya ga cuma satu wkwk",2023-04-11 16:17:04+00:00
orang brengsek yang mana lagi kali ini?,2023-04-11 16:15:22+00:00
jahat banget brengsek,2023-04-11 16:14:32+00:00
ih brengsek ngancingin baju egx sesusah itu bjir,2023-04-11 16:14:28+00:00
gua yg brengsek wkwk,2023-04-11 16:13:05+00:00
"Kadang yg ngechatin si brengsek clara sama alda. Abis chat, langsung bertiga mojok di dinding kamar alda, pas ada balesan hape ku dilempar 😭😭😭 wkwkw good old daysss",2023-04-11 16:12:10+00:00
brengsek fyp ku skrng video video cinematic pke iponk🥲🥲🥲🥲 kek nya bener benrr harus nabung:(,2023-04-11 16:11:40+00:00
tugas temen eluuu itu anjay gak beres-beres brengsek,2023-04-11 16:10:42+00:00
brengsek gaj punya hati bajingannnnn,2023-04-11 16:09:35+00:00
@anavasyaa Kalo udah ga cantik trs brengsek gmn tuch kak,2023-04-11 16:08:21+00:00
Brengsek,2023-04-11 16:08:19+00:00
