Tweets,Date
"wahai BANDUAN PELIWAT SAIPOL, kamu ni memang bangsat cuba utk tutup mata keatas kerosakan indon pornorogol yg korup. Kamu memang sial @anwaribrahim @rafiziramli @DrZahidHamidi @501Awani @SinarOnline  Check out InspirasiChannel's video! #TikTok https://t.co/MmGYjI67EH",2023-04-11 17:43:05+00:00
bangsat orang gabisa duduk lama itu nyusahin bgt sumpah,2023-04-11 17:42:25+00:00
@alyaspoppin tidak ada korelasi nya anjing babi bangsat,2023-04-11 17:42:24+00:00
"Nih ya jemi gua ajarin dah, klo lu punya otak sama hati, klo lu cinta sama lana mah lu tuh dampingin dia lah tolollll, kasih dukungan mental biar lana happy terus gk gampang kambuh terus kalian bisa bareng2, bukannya disakitin ya bangsat, malah ngebunuh lana perlahan lu namanya-",2023-04-11 17:42:18+00:00
Sakit banget bangsat,2023-04-11 17:41:38+00:00
bangsat mood sasageyo sasageyo terbang terus ditapuk titan,2023-04-11 17:40:50+00:00
Kora kora bangsat.,2023-04-11 17:38:24+00:00
@tanyarlfes anjing anjing anjing bangsat.,2023-04-11 17:38:22+00:00
BANGSAT YG KOMEN MINTA DI MUSNAHIN,2023-04-11 17:38:22+00:00
Ini lah Banduan Peliwat Saipol yg cakap tak serupa bikin. sekarang sedang selamat kan anak murid indon pornorogol yg rosak akhlak. Kamu ni memang bangsat dan tak bermoral @DrZahidHamidi @anwaribrahim @n_izzah,2023-04-11 17:38:19+00:00
@agusdevayana Bangsat dijebak,2023-04-11 17:38:11+00:00
@HelmiFelis_ Bicara kau langsung di Depan pak Luhut kalau kau berani Drun...!!! Kadrun Yaman bangsat...!!!,2023-04-11 17:37:42+00:00
BANGSAT TARDLU INI GW BRU BUKA TWT LANGSUNG MAKNAE LINE SEMUA MENGGUNCANG KEWARASAN GW,2023-04-11 17:37:39+00:00
@closetowhy BANGSAT CEKIKIKAN,2023-04-11 17:36:00+00:00
@VeelaaRhie @Nicho_Silalahi Bangsat ini jika blom kena batunya pasti berkoar2 terus,2023-04-11 17:35:53+00:00
Jadi ter bangsat bangsat btw,2023-04-11 17:35:44+00:00
ALKAEZAR PILLAR BAJINGANNNNN BANGSAT JANCOK ASU KON IKU NCEN BABIIII 😭😭😭😭😭,2023-04-11 17:35:42+00:00
Hayate bangsat,2023-04-11 17:35:35+00:00
@Sinfourth_ @abulmuzaffar10 Anjeng apa maksud dan tujuan sensornya ya bangsat,2023-04-11 17:35:24+00:00
@partisangambia @nursandie Sok inggris lu bangsat,2023-04-11 17:34:47+00:00
BANGSAT GAKUAT BGT GUA😭😭😭,2023-04-11 17:34:03+00:00
SHKSAHHS BANGSATTT AKU YANG BANGSAT https://t.co/6G3IDTlNfr,2023-04-11 17:34:03+00:00
LU yg BANGSAT,2023-04-11 17:33:36+00:00
haha mampus lo bangsat. rasain kontol.,2023-04-11 17:33:33+00:00
"Tapi aku tetep ngebatin ""bangsat, bangsat bangsatttt"" ya gpp, yaxx 🤗",2023-04-11 17:33:31+00:00
BANGSAT?!!?!??😭🙏,2023-04-11 17:32:35+00:00
ASU SEBELAH GUA BRISIK BGT BANGSAT GUE PUYENG DENGER OCEHAN LO,2023-04-11 17:31:58+00:00
@springsnou Bdsm (bangsat demit sialan monyet),2023-04-11 17:30:59+00:00
bangsat,2023-04-11 17:30:56+00:00
Limit mentab mulu bangsat,2023-04-11 17:30:23+00:00
@Sebelumasehii LO SENDIRI YANG BUKA YA BANGSAT,2023-04-11 17:30:21+00:00
@juanviolle 193K dong wkwk bangsat. aku mau terminate aja lah besok langsung,2023-04-11 17:29:48+00:00
Bangsat. Otw PO album 3 3 nya😭😭😭 https://t.co/22ZVcIbrRS,2023-04-11 17:29:27+00:00
bangsat wkwkkw,2023-04-11 17:28:48+00:00
@laalulalang LU JUGA GA KETOLONG YA BANGSAT,2023-04-11 17:28:33+00:00
