Date,Stopword,Lemmatization
2023-04-14 00:53:07+00:00,biar hasto nangis2 sampe mencret mikirin bola u20 hahaha ngapain ngomel2 anies wkwkwk ngerasa pahlawan bolehin israel bertanding indonesia kewajiban menjalankan amanah uud 45 berkuasa mencret sono,biar hasto nangis2 sampe mencret mikirin bola u20 hahaha ngapain ngomel2 anies wkwkwk ngerasa pahlawan bolehin israel tanding indonesia wajib jalan amanah uud 45 kuasa mencret sono
2023-04-14 00:07:37+00:00,what bahagia piala dunia you 20 berhasil digagalkan sukses tolak timnas israel batalkan piala dunia you 20 koster gubernur bali,what bahagia piala dunia you 20 hasil gagal sukses tolak timnas israel batal piala dunia you 20 koster gubernur bal
2023-04-13 21:03:41+00:00,megawati fokus benahi elektabilitas pdip pasca penolakan timnas u20 israel,megawati fokus benah elektabilitas pdip pasca tolak timnas u20 israel
2023-04-13 20:46:23+00:00,oo biar tim israel u20 main yaaa,oo biar tim israel u20 main yaaa
2023-04-13 18:49:46+00:00,goal hapoel kfar saba in israel liga leumithapoel umm al fahm 2 1 hapoel kfar sabagoal tanabi sp u20 in brazil paulista u20tanabi sp u20 1 2 mirassol u20,goal hapoel kfar saba in israel liga leumithapoel umm al fahm 2 1 hapoel kfar sabagoal tanabi sp u20 in brazil paulista u20tanabi sp u20 1 2 mirassol u20
2023-04-13 18:15:24+00:00,goal arsenal de sarandi in argentina superligaarsenal de sarandi 1 0 godoy cruzgoal kafr qasim in israel liga leumitagudat sport ashdod 1 2 kafr qasimgoal bahia u20 in brazil brasileiro u20atlético go u20 0 2 bahia u20,goal arsenal de sarandi in argentina superligaarsenal de sarandi 1 0 godoy cruzgoal kafr qasim in israel liga leumitagudat sport ashdod 1 2 kafr qasimgoal bahia u20 in brazil brasileiro u20atl tico go u20 0 2 bahia u20
2023-04-13 16:58:01+00:00,ada kah manusia menyalahkan umat islam indonesia menolak zionis israel masuk nkrimasih ada kah manusia suruh memisah politik dg olah ragasedangkan piala dunia you 20 indonesia karna politik oon suruh pisah olah raga dg poli,ada kah manusia salah umat islam indonesia tolak zionis israel masuk nkrimasih ada kah manusia suruh pisah politik dg olah ragasedangkan piala dunia you 20 indonesia karna politik oon suruh pisah olah raga dg pol
2023-04-13 16:50:41+00:00,obat mega cari sulit fifa keluarkan israel piala dunia u20 kembalikan penyelenggaraan indonesia kalok maafpun sulit,obat mega cari sulit fifa keluar israel piala dunia u20 kembali selenggara indonesia kalok maaf sulit
2023-04-13 14:17:52+00:00,pantes bungkam tolak u20 israelnyambung isu,pantes bungkam tolak u20 israelnyambung isu
2023-04-13 14:16:23+00:00,gubernur fanatik kemarin izin gereja dibangun mencalonkan presiden sandiwara dipilih kemarin setuju israel main u20 bali tuhan yesus tulus tulus sampe kena karma,gubernur fanatik kemarin izin gereja bangun calon presiden sandiwara pilih kemarin tuju israel main u20 bal tuhan yesus tulus tulus sampe kena karma
2023-04-13 13:20:40+00:00,pilih kebijakan menolak israel efek u20 sakit perjuangan lbh besar manfaat sisi kemanusiaan yaman byk aman negeri,pilih bijak tolak israel efek u20 sakit juang lbh besar manfaat sisi manusia yaman byk aman negeri
