Tweet,Username,Datetime,Sentiment
tuju sygx pildun u20 tinggal 2 bln tiba2 gub bal dn gub jateng tolak tim israelfifa indonesia profesional tdk kompak dn tdk milik komitmen helat pildun u20 krn indonesia sbg tuan rmh 2019,JOHNLAPOD4,2023-04-12 10:39:14+00:00,0.0
banding u20 jalan bebas demo jilid jilid tolak israel berita gemuruh dunia masyarakat indonesia palestina dampak besar progress juang palestina,TheArieAir,2023-04-12 08:31:31+00:00,0.4215
gelar u20 batal akibat tolak hadir israel berita indonesia batal tuan rumah tanding u20 diskriminatif dampak manusia bela palestina ada,TheArieAir,2023-04-12 08:29:13+00:00,0.0
hoaks video cristiano ronaldo dukung indonesia tolak timnas israel piala dunia u20,merdekadotcom,2023-04-12 06:26:38+00:00,0.0
aktifis 98 surabaya kusnan kecam nyata ade armando penolakn tim u20 israel klenik karno,hennydya_l,2023-04-12 06:22:35+00:00,0.0
gak ditutup2i efect tolak timnas israel batal pildun u20 sangkal jd nambah ruwet pencapresan telunjuk jokowi misterius gestur frekuensi temu dg digadang2 sbg kandidat parameter lbh,Veelgeenoo,2023-04-12 05:55:49+00:00,0.0
moga israel menang worl cup u20 bela negara orang bela gak dubes gak skg main bola jd tonton sdh bubarkaningat 2024 orang orang pertainya,hengki_messah,2023-04-12 05:41:09+00:00,0.0
indonesia pilih tuan rumah u17 piala dunia clear tolak israel batal u20 piala dunia ketidaksiapan tuan rumah,PoetraNKRI45,2023-04-12 05:18:31+00:00,0.3818
ada agenda politik tumpang isu israel piala dunia u20 paham,jankopoken,2023-04-12 03:39:31+00:00,0.0
kah bungkam tolak u20 israel kah,AsliLucuBanget,2023-04-12 01:58:03+00:00,0.0
batal pildun u20 indonesia krn tolak ganjar koster solusi tawar fifa tolak israel krn bukti jajah palestina tdk batal indonesia sbg tuan rumah kasihan anak2 sepakbola sdh bertahun2 latih tinggal sekolah,SyamsirHMSyari2,2023-04-12 00:40:55+00:00,0.0
pilih insan sepakbola noway tolak pildun u20 solusi pintar coba lobi fifa agr pildun ttp indonesia keikutsertaan israel rusia gagal pildun qatar,SyamsirHMSyari2,2023-04-12 00:33:45+00:00,0.0
