"Date","Price","Open","Close","High","Low","Vol.","Change %"
"01/17/2012",1651.74,1643.84,1652.20,1667.87,1641.45,,0.51
"01/16/2012",1643.40,1639.68,1643.84,1647.35,1631.44,,0.25
"01/13/2012",1639.35,1650.66,1639.68,1650.75,1626.06,,-0.65
"01/12/2012",1650.10,1640.64,1650.66,1662.12,1640.39,,0.51
"01/11/2012",1641.80,1632.39,1640.64,1647.40,1630.29,,0.63
"01/10/2012",1631.56,1611.57,1632.39,1640.27,1608.62,,1.24
"01/09/2012",1611.50,1616.78,1611.57,1623.69,1604.94,,-0.33
"01/06/2012",1616.85,1621.44,1616.78,1630.56,1608.89,,-0.38
"01/05/2012",1623.00,1611.39,1621.44,1625.86,1596.74,,0.66
"01/04/2012",1612.40,1602.75,1611.39,1618.92,1593.10,,0.51
"01/03/2012",1604.14,1566.20,1602.75,1607.45,1565.85,,2.42
"01/02/2012",1566.27,1566.61,1566.20,1569.61,1565.37,,0.13
"12/30/2011",1564.30,1545.89,1566.61,1581.26,1544.75,,1.14
"12/29/2011",1546.70,1556.39,1545.89,1561.51,1522.64,,-0.41
"12/28/2011",1553.00,1593.75,1556.39,1593.81,1550.10,,-2.50
"12/27/2011",1592.90,1607.51,1593.75,1607.79,1589.75,,-0.80
"12/26/2011",1605.82,1607.51,1607.51,1612.15,1597.86,,-0.05
"12/23/2011",1606.60,1606.75,1607.51,1614.31,1603.15,,0.12
"12/22/2011",1604.70,1615.35,1606.75,1617.36,1599.15,,-0.65
"12/21/2011",1615.15,1615.26,1615.35,1642.36,1606.40,,-0.03
"12/20/2011",1615.65,1594.26,1615.26,1619.12,1592.35,,1.35
"12/19/2011",1594.10,1599.35,1594.26,1608.50,1583.44,,-0.24
"12/16/2011",1597.95,1570.24,1599.35,1600.95,1568.86,,1.73
"12/15/2011",1570.70,1574.49,1570.24,1594.26,1561.07,,-0.28
"12/14/2011",1575.10,1632.11,1574.49,1641.89,1564.85,,-3.49
"12/13/2011",1632.10,1666.25,1632.11,1678.30,1622.75,,-2.05
"12/12/2011",1666.30,1711.64,1666.25,1715.05,1657.90,,-2.62
"12/09/2011",1711.10,1708.29,1711.64,1724.30,1703.54,,0.13
"12/08/2011",1708.80,1742.00,1708.29,1754.70,1704.51,,-1.91
"12/07/2011",1742.10,1728.46,1742.00,1743.26,1720.65,,0.80
"12/06/2011",1728.20,1722.50,1728.46,1733.46,1702.85,,0.38
"12/05/2011",1721.64,1746.15,1722.50,1755.30,1718.44,,-1.35
"12/02/2011",1745.25,1745.16,1746.15,1762.61,1738.15,,0.00
"12/01/2011",1745.25,1746.85,1745.16,1754.86,1734.10,,-0.03
"11/30/2011",1745.70,1714.99,1746.85,1750.23,1701.00,,1.69
"11/29/2011",1716.75,1712.05,1714.99,1720.76,1704.11,,0.26
"11/28/2011",1712.30,1680.80,1712.05,1720.49,1680.80,,1.91
"11/25/2011",1680.13,1694.85,1680.80,1697.90,1672.09,,-0.86
"11/24/2011",1694.75,1692.39,1694.85,1702.23,1687.69,,0.09
"11/23/2011",1693.30,1700.66,1692.39,1710.77,1677.94,,-0.35
"11/22/2011",1699.20,1679.30,1700.66,1705.80,1671.55,,1.09
"11/21/2011",1680.85,1723.30,1679.30,1726.64,1666.54,,-2.45
